IDLibro,Titolo,Autori,Casa_Editrice,Luogo_stampa,Anno_Pubblicazione,ISBN,Lingua,Genere,Data_Cat,Volumi,Numero
1AO23,"Odo voci","Ableman Paul",Feltrinelli,Parigi,1958,,Italiano,Realistico,2023-02-08,,1
2AL23,"Le ragioni del bene e del male","Alberoni Francesco","Garzanti Editore",Milano,1979,,Italiano,Realistico,2023-02-08,,2
3AU23,"Una donna","Aleramo Sibilla",Feltrinelli,,1990,8807810360,Italiano,Realistico,2023-03-01,Unico,3
4AD23,"Dall'isonzo al Pave","Alessi Rino","Arnoldo Mondadori Editore",,1966,,Italiano,Realistico,2023-02-08,,4
5AF23,Filippo,"Alfieri Vittorio",Garzanti,Italia,1990,8811584159,Italiano,Realistico,2023-02-08,,5
6AD23,"D'amore e ombra","Allende Isabel",Feltrinelli,Milano,1985,8807810212,Italiano,Realistico,2023-02-08,,6
7AP23,Paula,"Allende Isabel",Feltrinelli,Milano,1994,8481304565,Italiano,Realistico,2023-02-08,,7
8AV23,"Vita Nuova","Alighieri Dante",Feltrinelli,Milano,1993,8807820722,italiano,Realistico,2023-02-08,,8
9DI23,"Il sergente Delle milizie","De almeida Manoel Antonio","Fratelli bocca Editori",Milano,1954,,Italiano,Realistico,2023-02-08,,9
10AA23,"Agonia della notte","Amado Jorge","Giulio Einaudi Editore",Torino,1954,8022264717335,Italiano,Realistico,2023-02-08,,10
11AD23,"Dona Flor e I suoi due mariti","Amado Jorge","Garzanti Editore",Italia,1977,8481304786,Italiano,Realistico,2023-02-08,,11
12AD23,"Da via Panisperna all'America","Amaldi Edoardo",Riuiniti,Roma,1997,8835943722,Italiano,Realistico,2023-02-08,,12
13AB23,"Buonanotte Angelo","Alberti Barbara",Mondadori,Milano,1986,,Italiano,Realistico,2023-02-08,,13
14KP23,"Perche resti col Bang?","Kingsley Amis",Einaudi,Torino,1968,,Italiano,Realistico,2023-02-08,,14
15AI23,"Io e te","Ammaniti Niccolo",Einaudi,Torino,2010,9788806206802,Italiano,Realistico,2023-02-08,,15
16AI23,"Io non ho paura","Ammaniti Niccolò",Einaudi,Torino,2011,9788806207694,Italiano,Realistico,2023-02-08,,16
17AT23,"Ti prendo e ti porto via","Ammaniti Niccolo",Mondadori,Milano,1999,8804476796,Italiano,Realistico,2023-02-08,,17
18AL23,"Lazzaro e altre novelle",Andreev,"Passigli Editori",Milano,1999,36802567,Italiano,Realistico,2023-02-08,,18
19HI23,"I capolavori","Hamsun Knut	","Casini Editore",Firenze,1996,,Italiano,Raccolta,2023-03-01,Unico,19
20HL23,L'ambulante,"Handke Peter",Feltrinelli,Milano,1993,8807811561,Italiano,Giallo/Thriller,2023-03-01,Unico,20
21EL23,"L'anima dell'Indiano","Eastman Charles","Adelphi Edizioni",Milano,1983,,Italiano,Narrativa,2023-02-15,Unico,21
22HL23,"La donna mancina","Handke Peter",Garzanti,,1999,8497890094,Italiano,Narrativa,2023-03-01,Unico,22
23HI23,"Il palazzo del pavone","Harris Wilson",Einaudi,Torino,1989,8806114859,Italiano,Storico,2023-03-01,Unico,23
24HI23,"Il palazzo del pavone","Harris Wilson",Einaudi,Torino,1989,8806114859,Italiano,Storico,2023-03-01,Unico,24
25EI23,"Il nome della rosa","Eco Umberto","Gruppo editoriale Fabbri",Milano,1984,,Italiano,Storico,2023-02-15,Unico,25
26DL23,"La morte della pizia","Dürrenmatt Friedrich",Adelphi,Milano,1989,884590296,italiano,Narrativa,2023-02-15,Unico,26
27HU23,"Un volo di chiurli","Hart Maarten't","Marietti Editore","Casale Monteferrato",1984,882116165X,Italiano,Narrativa,2023-03-01,Unico,27
28HU23,"Un volo di chiurli","Hart Maarten't","Marietti Editore","Casale Monteferrato",1984,882116165X,Italiano,Narrativa,2023-03-01,Unico,28
29DT23,Tunc,"Durrel Lawrence",Feltrinelli,Milano,1969,,italiano,Fantastoria/Ucronia,2023-02-15,Unico,29
30EP23,"Pape Satàn aleppe","Eco Umberto","La nave di Teseo",Milano,2016,9788893440226,Italiano,Saggio,2023-02-15,Unico,30
31EI23,"I ragazzi hanno grandi sogni","Ehsani Alì,Casolo Francesco",Feltrinelli,Milano,2020,9788807894176,Italiano,Narrativa,2023-02-15,Unico,31
32EM23,"Mito e realtà","Eliade Mircea",Borla,Roma,1993,8826304238,Italiano,"Storia Locale",2023-02-15,Unico,32
33HA23,"A ciascuno la sua morte","Heinichen Veit ","E/O Editori",Roma,2005,8876417036,Italiano,Giallo/Thriller,2023-03-01,Unico,33
34EG23,"Giorno dopo giorno","Elkann Alain",Bompiani,Milano,2005,8845234908,Italiano,Narrativa,2023-02-15,Unico,34
35DL23,L'amante,"Duras Marguerite",Feltrinelli,Milano,1985,8870013045,italiano,Sentimentale/Rosa,2023-02-15,Unico,35
36HI23,"I morti del carso","Heinichen Veit","E/O Editori",Roma,2004,8876416226,Italiano,Giallo/Thriller,2023-03-01,Unico,36
37DL23,L'amante,"Duras Marguerite","La biblioteca di republica",Milano,2002,8481304869,italiano,Sentimentale/Rosa,2023-02-15,Unico,37
38HL23,"Le lunghe ombre della morte","Heinichen Veit","E/O Editori",Roma,2006,8876417400,Italiano,Giallo/Thriller,2023-03-01,Unico,38
39HL23,"Le lunghe ombre della morte","Heinichen Veit ","E/O Editori",Roma,2006,8876417400,Italiano,Giallo/Thriller,2023-03-01,Unico,39
40DL23,"La regina margot","Dumbas Alexandre","biblioteca universale rizzoli",Milano,1994,8817152080,italiano,Sentimentale/Rosa,2023-02-15,Unico,40
41EG23,"Gli aborigeni australiani","Elkin A.P.",Einaudi,Torino,1956,,Italiano,Storico,2023-02-15,Unico,41
42HT23,"Teoria dei sentimenti","Heller Agnes","Riuniti Editori",Roma,1980,,Italiano,Sentimentale/Rosa,2023-03-01,Unico,42
